shipment_id,order_id,origin_warehouse_id,destination_city,destination_country,carrier,mode,status,shipped_at,estimated_delivery_at,actual_delivery_at,delay_hours,is_delayed
SHP-000001,ORD-000001,WH-AP-003,Switzerland,Switzerland,DHL Supply Chain,Air Freight,DELIVERED,2026-07-24 10:00:44.489038,2026-07-30 10:00:44.489038,2026-07-30 22:00:44.489038,12,True
SHP-000002,ORD-000002,WH-AP-003,Switzerland,Switzerland,Kuehne + Nagel,Sea Freight,DELAYED,2026-07-01 00:00:44.489038,2026-07-05 00:00:44.489038,,0,False
SHP-000003,ORD-000003,WH-ME-001,USA,USA,Cosco Shipping,Air Freight,DELAYED,2026-08-12 05:00:44.489038,2026-08-22 05:00:44.489038,,0,False
SHP-000004,ORD-000004,WH-AP-003,Switzerland,Switzerland,UPS Supply Chain,Rail Express,DELIVERED,2026-08-12 21:00:44.489038,2026-08-16 21:00:44.489038,2026-08-16 21:00:44.489038,0,False
SHP-000005,ORD-000005,WH-EU-002,Germany,Germany,Kuehne + Nagel,Sea Freight,DELIVERED,2026-08-12 02:00:44.489038,2026-08-15 02:00:44.489038,2026-08-15 02:00:44.489038,0,False
SHP-000006,ORD-000006,WH-AP-001,USA,USA,FedEx Express Air,Road Truckload,DELIVERED,2026-07-14 21:00:44.489038,2026-07-23 21:00:44.489038,2026-07-24 21:00:44.489038,24,True
SHP-000007,ORD-000007,WH-AU-001,UK,UK,FedEx Express Air,Sea Freight,DELIVERED,2026-06-30 14:00:44.489038,2026-07-03 14:00:44.489038,2026-07-03 14:00:44.489038,0,False
SHP-000008,ORD-000008,WH-AP-003,USA,USA,Kuehne + Nagel,Sea Freight,DELIVERED,2026-07-14 01:00:44.489038,2026-07-22 01:00:44.489038,2026-07-22 13:00:44.489038,12,True
SHP-000009,ORD-000009,WH-ME-001,Germany,Germany,DB Schenker,Rail Express,DELAYED,2026-07-06 16:00:44.489038,2026-07-13 16:00:44.489038,,0,False
SHP-000010,ORD-000010,WH-EU-002,USA,USA,Kuehne + Nagel,Air Freight,DELIVERED,2026-07-21 15:00:44.489038,2026-07-25 15:00:44.489038,2026-07-25 15:00:44.489038,0,False
SHP-000011,ORD-000011,WH-EU-001,Taiwan,Taiwan,DB Schenker,Sea Freight,DELIVERED,2026-07-26 20:00:44.489038,2026-08-01 20:00:44.489038,2026-08-01 20:00:44.489038,0,False
SHP-000012,ORD-000012,WH-AP-002,UK,UK,DB Schenker,Road Truckload,IN_TRANSIT,2026-07-05 16:00:44.489038,2026-07-15 16:00:44.489038,,0,False
SHP-000013,ORD-000013,WH-EU-001,USA,USA,FedEx Express Air,Air Freight,DELIVERED,2026-07-16 21:00:44.489038,2026-07-24 21:00:44.489038,2026-07-26 21:00:44.489038,48,True
SHP-000014,ORD-000014,WH-EU-002,Japan,Japan,Cosco Shipping,Rail Express,IN_TRANSIT,2026-07-31 05:00:44.489038,2026-08-03 05:00:44.489038,,0,False
SHP-000015,ORD-000015,WH-ME-001,Taiwan,Taiwan,DHL Supply Chain,Sea Freight,CUSTOMS_HOLD,2026-08-10 13:00:44.489038,2026-08-18 13:00:44.489038,,0,False
SHP-000016,ORD-000016,WH-ME-001,Germany,Germany,DHL Supply Chain,Sea Freight,DELIVERED,2026-07-31 19:00:44.489038,2026-08-05 19:00:44.489038,2026-08-06 07:00:44.489038,12,True
SHP-000017,ORD-000017,WH-EU-002,Australia,Australia,Cosco Shipping,Rail Express,DELIVERED,2026-07-03 20:00:44.489038,2026-07-08 20:00:44.489038,2026-07-09 08:00:44.489038,12,True
SHP-000018,ORD-000018,WH-US-001,Japan,Japan,Cosco Shipping,Road Truckload,DELIVERED,2026-07-15 00:00:44.489038,2026-07-21 00:00:44.489038,2026-07-21 00:00:44.489038,0,False
SHP-000019,ORD-000019,WH-ME-001,USA,USA,UPS Supply Chain,Rail Express,CUSTOMS_HOLD,2026-07-07 06:00:44.489038,2026-07-13 06:00:44.489038,,0,False
SHP-000020,ORD-000020,WH-AP-002,Germany,Germany,DHL Supply Chain,Rail Express,DELIVERED,2026-07-09 05:00:44.489038,2026-07-14 05:00:44.489038,2026-07-14 05:00:44.489038,0,False
SHP-000021,ORD-000021,WH-SA-001,Taiwan,Taiwan,DHL Supply Chain,Road Truckload,CUSTOMS_HOLD,2026-08-03 03:00:44.489038,2026-08-07 03:00:44.489038,,0,False
