inventory_id,warehouse_id,product_id,quantity_on_hand,reorder_level,safety_stock,is_low_stock,last_counted_at
INV-00001,WH-US-001,PROD-001,735,269,90,False,2026-08-04 06:00:44.489038
INV-00002,WH-US-001,PROD-002,1049,227,72,False,2026-08-05 06:00:44.489038
INV-00003,WH-US-001,PROD-003,1291,115,98,False,2026-08-11 06:00:44.489038
INV-00004,WH-US-001,PROD-004,503,116,94,False,2026-08-07 06:00:44.489038
INV-00005,WH-US-001,PROD-005,483,100,54,False,2026-08-04 06:00:44.489038
INV-00006,WH-US-001,PROD-006,711,117,70,False,2026-08-12 06:00:44.489038
INV-00007,WH-US-001,PROD-007,801,218,50,False,2026-08-08 06:00:44.489038
INV-00008,WH-US-001,PROD-008,1481,281,120,False,2026-08-06 06:00:44.489038
INV-00009,WH-US-001,PROD-009,1164,185,71,False,2026-08-11 06:00:44.489038
INV-00010,WH-US-001,PROD-010,564,128,74,False,2026-08-12 06:00:44.489038
INV-00011,WH-US-002,PROD-001,1325,180,67,False,2026-08-08 06:00:44.489038
INV-00012,WH-US-002,PROD-002,577,123,54,False,2026-08-08 06:00:44.489038
INV-00013,WH-US-002,PROD-003,745,151,109,False,2026-08-11 06:00:44.489038
INV-00014,WH-US-002,PROD-004,654,103,78,False,2026-08-06 06:00:44.489038
INV-00015,WH-US-002,PROD-005,811,237,62,False,2026-08-06 06:00:44.489038
INV-00016,WH-US-002,PROD-006,202,144,148,False,2026-08-06 06:00:44.489038
INV-00017,WH-US-002,PROD-007,1453,202,98,False,2026-08-07 06:00:44.489038
INV-00018,WH-US-002,PROD-008,716,205,52,False,2026-08-08 06:00:44.489038
INV-00019,WH-US-002,PROD-009,1274,291,114,False,2026-08-07 06:00:44.489038
INV-00020,WH-US-002,PROD-010,640,168,62,False,2026-08-11 06:00:44.489038
INV-00021,WH-EU-001,PROD-001,923,256,63,False,2026-08-06 06:00:44.489038
INV-00022,WH-EU-001,PROD-002,1241,153,110,False,2026-08-07 06:00:44.489038
INV-00023,WH-EU-001,PROD-003,91,231,139,True,2026-08-10 06:00:44.489038
INV-00024,WH-EU-001,PROD-004,549,262,58,False,2026-08-04 06:00:44.489038
INV-00025,WH-EU-001,PROD-005,63,101,85,True,2026-08-03 06:00:44.489038
INV-00026,WH-EU-001,PROD-006,1255,254,82,False,2026-08-04 06:00:44.489038
INV-00027,WH-EU-001,PROD-007,141,108,94,False,2026-08-10 06:00:44.489038
INV-00028,WH-EU-001,PROD-008,1222,265,148,False,2026-08-06 06:00:44.489038
INV-00029,WH-EU-001,PROD-009,344,259,61,False,2026-08-03 06:00:44.489038
INV-00030,WH-EU-001,PROD-010,373,198,147,False,2026-08-05 06:00:44.489038
INV-00031,WH-EU-002,PROD-001,693,103,71,False,2026-08-11 06:00:44.489038
INV-00032,WH-EU-002,PROD-002,395,299,75,False,2026-08-08 06:00:44.489038
INV-00033,WH-EU-002,PROD-003,1121,269,69,False,2026-08-08 06:00:44.489038
INV-00034,WH-EU-002,PROD-004,1152,200,55,False,2026-08-09 06:00:44.489038
INV-00035,WH-EU-002,PROD-005,712,284,54,False,2026-08-08 06:00:44.489038
INV-00036,WH-EU-002,PROD-006,1437,268,95,False,2026-08-05 06:00:44.489038
INV-00037,WH-EU-002,PROD-007,1017,133,119,False,2026-08-05 06:00:44.489038
INV-00038,WH-EU-002,PROD-008,211,187,112,False,2026-08-08 06:00:44.489038
INV-00039,WH-EU-002,PROD-009,427,230,105,False,2026-08-10 06:00:44.489038
INV-00040,WH-EU-002,PROD-010,1085,286,78,False,2026-08-11 06:00:44.489038
INV-00041,WH-AP-001,PROD-001,294,219,68,False,2026-08-09 06:00:44.489038
INV-00042,WH-AP-001,PROD-002,1369,205,81,False,2026-08-11 06:00:44.489038
INV-00043,WH-AP-001,PROD-003,367,132,104,False,2026-08-11 06:00:44.489038
INV-00044,WH-AP-001,PROD-004,1485,143,137,False,2026-08-10 06:00:44.489038
INV-00045,WH-AP-001,PROD-005,1336,184,77,False,2026-08-12 06:00:44.489038
INV-00046,WH-AP-001,PROD-006,1024,111,50,False,2026-08-03 06:00:44.489038
INV-00047,WH-AP-001,PROD-007,1395,179,80,False,2026-08-06 06:00:44.489038
INV-00048,WH-AP-001,PROD-008,1248,175,79,False,2026-08-06 06:00:44.489038
INV-00049,WH-AP-001,PROD-009,589,286,62,False,2026-08-04 06:00:44.489038
INV-00050,WH-AP-001,PROD-010,84,251,66,True,2026-08-05 06:00:44.489038
INV-00051,WH-AP-002,PROD-001,478,159,137,False,2026-08-10 06:00:44.489038
INV-00052,WH-AP-002,PROD-002,1083,105,55,False,2026-08-12 06:00:44.489038
INV-00053,WH-AP-002,PROD-003,375,150,146,False,2026-08-06 06:00:44.489038
INV-00054,WH-AP-002,PROD-004,1361,164,137,False,2026-08-09 06:00:44.489038
INV-00055,WH-AP-002,PROD-005,1086,139,85,False,2026-08-04 06:00:44.489038
INV-00056,WH-AP-002,PROD-006,282,252,115,False,2026-08-03 06:00:44.489038
INV-00057,WH-AP-002,PROD-007,616,264,117,False,2026-08-10 06:00:44.489038
INV-00058,WH-AP-002,PROD-008,1142,175,93,False,2026-08-03 06:00:44.489038
