shipment_id,order_id,origin_warehouse_id,destination_city,destination_country,carrier,mode,status,shipped_at,estimated_delivery_at,actual_delivery_at,raw_payload
SHP-000001,ORD-000001,WH-AP-002,Japan,Japan,UPS Supply Chain,Air Freight,IN_TRANSIT,2026-09-01T21:27:20.247341,2026-09-06T21:27:20.247341,,"{""shipment_id"": ""SHP-000001"", ""carrier"": ""UPS Supply Chain"", ""status"": ""IN_TRANSIT""}"
SHP-000002,ORD-000002,WH-SA-001,Taiwan,Taiwan,DHL Supply Chain,Rail Express,DELIVERED,2026-07-30T02:27:20.247341,2026-08-07T02:27:20.247341,2026-08-07T02:27:20.247341,"{""shipment_id"": ""SHP-000002"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000003,ORD-000003,WH-AP-003,Japan,Japan,Kuehne + Nagel,Sea Freight,IN_TRANSIT,2026-07-22T07:27:20.247341,2026-07-29T07:27:20.247341,,"{""shipment_id"": ""SHP-000003"", ""carrier"": ""Kuehne + Nagel"", ""status"": ""IN_TRANSIT""}"
SHP-000004,ORD-000004,WH-AP-001,Australia,Australia,DB Schenker,Sea Freight,DELIVERED,2026-07-21T15:27:20.247341,2026-07-30T15:27:20.247341,2026-07-31T15:27:20.247341,"{""shipment_id"": ""SHP-000004"", ""carrier"": ""DB Schenker"", ""status"": ""DELIVERED""}"
SHP-000005,ORD-000005,WH-AP-001,USA,USA,DB Schenker,Air Freight,DELIVERED,2026-07-23T16:27:20.247341,2026-07-31T16:27:20.247341,2026-08-01T16:27:20.247341,"{""shipment_id"": ""SHP-000005"", ""carrier"": ""DB Schenker"", ""status"": ""DELIVERED""}"
SHP-000006,ORD-000006,WH-AP-003,Japan,Japan,Maersk Ocean,Rail Express,DELIVERED,2026-07-31T03:27:20.247341,2026-08-03T03:27:20.247341,2026-08-03T15:27:20.247341,"{""shipment_id"": ""SHP-000006"", ""carrier"": ""Maersk Ocean"", ""status"": ""DELIVERED""}"
SHP-000007,ORD-000007,WH-AP-002,USA,USA,FedEx Express Air,Sea Freight,DELAYED,2026-08-08T18:27:20.247341,2026-08-17T18:27:20.247341,,"{""shipment_id"": ""SHP-000007"", ""carrier"": ""FedEx Express Air"", ""status"": ""DELAYED""}"
SHP-000008,ORD-000008,WH-AP-003,Australia,Australia,DHL Supply Chain,Rail Express,DELIVERED,2026-07-26T10:27:20.247341,2026-07-30T10:27:20.247341,2026-07-30T22:27:20.247341,"{""shipment_id"": ""SHP-000008"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000009,ORD-000009,WH-AP-001,Taiwan,Taiwan,DB Schenker,Rail Express,DELIVERED,2026-08-10T07:27:20.247341,2026-08-17T07:27:20.247341,2026-08-17T19:27:20.247341,"{""shipment_id"": ""SHP-000009"", ""carrier"": ""DB Schenker"", ""status"": ""DELIVERED""}"
SHP-000010,ORD-000010,WH-SA-001,UK,UK,DHL Supply Chain,Sea Freight,DELIVERED,2026-08-21T07:27:20.247341,2026-08-28T07:27:20.247341,2026-08-29T07:27:20.247341,"{""shipment_id"": ""SHP-000010"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000011,ORD-000011,WH-AP-003,Germany,Germany,DB Schenker,Air Freight,DELAYED,2026-08-31T07:27:20.247341,2026-09-07T07:27:20.247341,,"{""shipment_id"": ""SHP-000011"", ""carrier"": ""DB Schenker"", ""status"": ""DELAYED""}"
SHP-000012,ORD-000012,WH-US-002,USA,USA,Kuehne + Nagel,Rail Express,DELAYED,2026-08-14T14:27:20.247341,2026-08-19T14:27:20.247341,,"{""shipment_id"": ""SHP-000012"", ""carrier"": ""Kuehne + Nagel"", ""status"": ""DELAYED""}"
SHP-000013,ORD-000013,WH-AP-002,USA,USA,DHL Supply Chain,Sea Freight,DELAYED,2026-08-10T07:27:20.247341,2026-08-13T07:27:20.247341,,"{""shipment_id"": ""SHP-000013"", ""carrier"": ""DHL Supply Chain"", ""status"": ""DELAYED""}"
SHP-000014,ORD-000014,WH-US-001,USA,USA,Cosco Shipping,Air Freight,DELIVERED,2026-08-03T09:27:20.247341,2026-08-13T09:27:20.247341,2026-08-13T09:27:20.247341,"{""shipment_id"": ""SHP-000014"", ""carrier"": ""Cosco Shipping"", ""status"": ""DELIVERED""}"
SHP-000015,ORD-000015,WH-AP-003,Japan,Japan,UPS Supply Chain,Rail Express,DELIVERED,2026-08-13T07:27:20.247341,2026-08-21T07:27:20.247341,2026-08-23T07:27:20.247341,"{""shipment_id"": ""SHP-000015"", ""carrier"": ""UPS Supply Chain"", ""status"": ""DELIVERED""}"
SHP-000016,ORD-000016,WH-ME-001,UK,UK,FedEx Express Air,Road Truckload,DELIVERED,2026-08-20T12:27:20.247341,2026-08-23T12:27:20.247341,2026-08-23T12:27:20.247341,"{""shipment_id"": ""SHP-000016"", ""carrier"": ""FedEx Express Air"", ""status"": ""DELIVERED""}"
SHP-000017,ORD-000017,WH-AP-003,UK,UK,DHL Supply Chain,Rail Express,IN_TRANSIT,2026-07-20T20:27:20.247341,2026-07-29T20:27:20.247341,,"{""shipment_id"": ""SHP-000017"", ""carrier"": ""DHL Supply Chain"", ""status"": ""IN_TRANSIT""}"
SHP-000018,ORD-000018,WH-AP-002,Germany,Germany,Kuehne + Nagel,Rail Express,IN_TRANSIT,2026-09-01T22:27:20.247341,2026-09-04T22:27:20.247341,,"{""shipment_id"": ""SHP-000018"", ""carrier"": ""Kuehne + Nagel"", ""status"": ""IN_TRANSIT""}"
