event_id,shipment_id,device_id,latitude,longitude,temperature_c,humidity_pct,battery_level,recorded_at,is_temp_breach
IOT-0000001,SHP-000543,DEV-853,24.68938,53.39155,4.34,74.91,46,2026-08-08 21:44:44.489038,False
IOT-0000002,SHP-000511,DEV-212,30.027223,120.214388,6.48,52.16,91,2026-08-08 11:54:44.489038,False
IOT-0000003,SHP-000316,DEV-196,-34.120505,149.012698,5.07,69.97,56,2026-08-10 03:22:44.489038,False
IOT-0000004,SHP-000470,DEV-512,34.367955,-117.649926,3.16,64.44,46,2026-08-12 17:56:44.489038,False
IOT-0000005,SHP-000292,DEV-203,35.518824,-120.175859,5.18,44.68,85,2026-08-09 09:21:44.489038,False
IOT-0000006,SHP-000511,DEV-217,54.017715,11.768181,2.53,72.49,15,2026-08-11 14:29:44.489038,False
IOT-0000007,SHP-000466,DEV-935,49.493073,5.782191,3.5,72.93,99,2026-08-09 22:10:44.489038,False
IOT-0000008,SHP-000557,DEV-741,26.881397,57.612225,3.54,49.54,21,2026-08-12 20:58:44.489038,False
IOT-0000009,SHP-000199,DEV-273,-26.201131,-46.088977,6.43,67.67,40,2026-08-11 01:45:44.489038,False
IOT-0000010,SHP-000376,DEV-258,27.548169,52.774326,2.77,57.26,58,2026-08-08 23:07:44.489038,False
IOT-0000011,SHP-000071,DEV-793,51.414191,7.855238,4.57,63.76,69,2026-08-11 01:46:44.489038,False
IOT-0000012,SHP-000435,DEV-969,2.945551,103.023408,4.6,48.17,72,2026-08-08 14:19:44.489038,False
IOT-0000013,SHP-000300,DEV-604,-24.312825,-47.924576,2.02,71.78,48,2026-08-09 10:24:44.489038,False
IOT-0000014,SHP-000347,DEV-903,52.543718,2.530356,2.58,61.05,53,2026-08-10 04:57:44.489038,False
IOT-0000015,SHP-000073,DEV-220,36.972116,140.662111,4.79,64.93,84,2026-08-08 20:21:44.489038,False
IOT-0000016,SHP-000199,DEV-801,-1.13431,104.337568,5.3,51.43,55,2026-08-11 05:06:44.489038,False
IOT-0000017,SHP-000150,DEV-499,32.127498,-118.081836,12.22,44.63,16,2026-08-11 23:42:44.489038,True
IOT-0000018,SHP-000584,DEV-828,32.359433,120.813935,5.31,64.64,62,2026-08-12 05:16:44.489038,False
IOT-0000019,SHP-000202,DEV-794,35.398004,139.138941,5.43,53.29,40,2026-08-10 15:16:44.489038,False
IOT-0000020,SHP-000275,DEV-721,-23.311613,-47.447618,2.36,71.63,17,2026-08-13 01:36:44.489038,False
IOT-0000021,SHP-000310,DEV-835,43.975191,-87.712695,5.68,73.23,22,2026-08-11 22:50:44.489038,False
IOT-0000022,SHP-000472,DEV-969,53.551163,7.602455,3.88,47.88,47,2026-08-12 02:42:44.489038,False
IOT-0000023,SHP-000051,DEV-604,39.468488,-86.739609,2.52,41.67,40,2026-08-09 08:39:44.489038,False
IOT-0000024,SHP-000536,DEV-274,33.696419,141.576465,3.78,50.03,64,2026-08-08 09:28:44.489038,False
IOT-0000025,SHP-000189,DEV-914,33.150214,122.649197,3.75,67.66,93,2026-08-09 12:37:44.489038,False
IOT-0000026,SHP-000514,DEV-602,37.165199,139.900602,3.07,71.04,20,2026-08-08 16:34:44.489038,False
IOT-0000027,SHP-000432,DEV-268,44.20619,-87.432408,5.42,72.63,83,2026-08-09 14:35:44.489038,False
IOT-0000028,SHP-000420,DEV-320,-34.816594,149.777419,4.53,43.56,47,2026-08-11 08:17:44.489038,False
IOT-0000029,SHP-000105,DEV-119,51.16167,8.763612,3.27,73.73,87,2026-08-10 02:50:44.489038,False
IOT-0000030,SHP-000598,DEV-126,34.281041,-116.332789,6.13,41.34,51,2026-08-11 21:23:44.489038,False
IOT-0000031,SHP-000119,DEV-992,-1.127844,105.162572,4.11,64.42,40,2026-08-10 21:34:44.489038,False
IOT-0000032,SHP-000137,DEV-269,54.540434,10.781396,6.05,50.19,24,2026-08-09 22:32:44.489038,False
IOT-0000033,SHP-000415,DEV-649,26.133091,56.545082,5.77,60.08,76,2026-08-12 09:57:44.489038,False
IOT-0000034,SHP-000250,DEV-466,53.872142,9.739289,5.64,51.34,73,2026-08-12 17:13:44.489038,False
IOT-0000035,SHP-000131,DEV-206,36.334758,137.737058,2.82,50.51,45,2026-08-11 10:48:44.489038,False
IOT-0000036,SHP-000269,DEV-404,-35.034023,150.634247,2.15,44.38,59,2026-08-08 12:08:44.489038,False
IOT-0000037,SHP-000389,DEV-881,55.856409,8.212193,5.88,46.25,81,2026-08-12 08:51:44.489038,False
IOT-0000038,SHP-000364,DEV-851,30.834491,119.904258,2.2,72.95,80,2026-08-10 01:07:44.489038,False
IOT-0000039,SHP-000577,DEV-377,-26.254663,-43.992188,5.45,48.5,19,2026-08-10 12:25:44.489038,False
IOT-0000040,SHP-000466,DEV-767,49.640979,2.786184,2.56,61.17,57,2026-08-11 10:11:44.489038,False
IOT-0000041,SHP-000523,DEV-938,-31.893385,148.842015,3.2,67.77,81,2026-08-09 01:02:44.489038,False
IOT-0000042,SHP-000210,DEV-536,0.829376,104.568659,5.98,42.99,62,2026-08-10 16:47:44.489038,False
IOT-0000043,SHP-000482,DEV-256,34.775502,-120.722539,2.19,64.23,81,2026-08-10 04:35:44.489038,False
IOT-0000044,SHP-000544,DEV-966,-23.04302,-48.644743,2.83,43.78,21,2026-08-08 22:34:44.489038,False
IOT-0000045,SHP-000583,DEV-961,35.331382,-119.494746,2.83,69.61,32,2026-08-12 10:54:44.489038,False
IOT-0000046,SHP-000456,DEV-771,42.832168,-89.857275,5.61,60.32,48,2026-08-10 00:19:44.489038,False
IOT-0000047,SHP-000585,DEV-104,31.707172,-119.96475,3.52,67.64,100,2026-08-11 16:33:44.489038,False
IOT-0000048,SHP-000241,DEV-185,-23.237244,-43.976658,5.3,67.73,39,2026-08-11 21:52:44.489038,False
IOT-0000049,SHP-000206,DEV-306,41.298065,-87.441375,3.83,70.79,82,2026-08-09 22:37:44.489038,False
IOT-0000050,SHP-000523,DEV-452,52.62508,6.049951,6.22,46.48,30,2026-08-09 03:03:44.489038,False
IOT-0000051,SHP-000315,DEV-287,27.378309,54.214966,2.88,43.26,30,2026-08-11 23:30:44.489038,False
IOT-0000052,SHP-000197,DEV-200,-21.842891,-44.780183,4.59,71.36,65,2026-08-08 09:53:44.489038,False
IOT-0000053,SHP-000116,DEV-574,-25.468482,-45.078981,5.3,71.45,65,2026-08-10 21:59:44.489038,False
IOT-0000054,SHP-000155,DEV-157,-25.744328,-44.808397,5.61,66.4,83,2026-08-08 20:23:44.489038,False
IOT-0000055,SHP-000464,DEV-479,-24.774032,-44.444557,2.74,42.12,92,2026-08-10 12:28:44.489038,False
IOT-0000056,SHP-000112,DEV-654,36.212912,-116.126531,3.86,43.28,21,2026-08-10 06:38:44.489038,False
IOT-0000057,SHP-000084,DEV-187,52.805441,8.260285,4.53,50.79,25,2026-08-10 18:38:44.489038,False
IOT-0000058,SHP-000498,DEV-920,30.25773,123.16786,3.58,64.43,68,2026-08-12 12:47:44.489038,False
IOT-0000059,SHP-000413,DEV-815,3.767424,105.41871,5.5,53.17,81,2026-08-09 12:02:44.489038,False
IOT-0000060,SHP-000292,DEV-894,-31.737598,151.225474,2.33,69.52,43,2026-08-11 21:44:44.489038,False
IOT-0000061,SHP-000302,DEV-225,54.136604,3.584065,3.02,42.52,80,2026-08-12 12:19:44.489038,False
IOT-0000062,SHP-000508,DEV-377,31.1334,123.129555,4.1,44.54,52,2026-08-12 08:08:44.489038,False
IOT-0000063,SHP-000202,DEV-617,24.368659,57.188158,10.89,55.26,47,2026-08-09 06:31:44.489038,True
IOT-0000064,SHP-000105,DEV-106,36.062941,-117.217152,3.7,65.37,79,2026-08-09 02:53:44.489038,False
IOT-0000065,SHP-000583,DEV-852,42.903416,-86.745105,4.09,73.04,48,2026-08-11 22:40:44.489038,False
IOT-0000066,SHP-000563,DEV-542,52.102832,6.655747,3.17,59.73,36,2026-08-11 01:29:44.489038,False
IOT-0000067,SHP-000049,DEV-148,33.297559,-119.099914,3.29,57.86,98,2026-08-10 03:16:44.489038,False
IOT-0000068,SHP-000499,DEV-530,30.483107,121.496287,6.15,59.98,38,2026-08-10 12:41:44.489038,False
IOT-0000069,SHP-000565,DEV-680,54.585085,9.093215,2.47,42.92,34,2026-08-10 14:17:44.489038,False
IOT-0000070,SHP-000552,DEV-668,33.092716,-115.925703,2.34,72.14,45,2026-08-11 02:50:44.489038,False
IOT-0000071,SHP-000001,DEV-946,-22.659337,-47.800804,4.6,67.39,78,2026-08-10 09:05:44.489038,False
IOT-0000072,SHP-000420,DEV-998,26.6992,54.339314,4.68,40.95,51,2026-08-10 15:09:44.489038,False
IOT-0000073,SHP-000311,DEV-488,35.14574,139.828414,17.73,57.36,33,2026-08-09 20:48:44.489038,True
IOT-0000074,SHP-000523,DEV-100,30.432749,121.807059,4.78,49.92,39,2026-08-08 16:41:44.489038,False
IOT-0000075,SHP-000597,DEV-572,-25.787786,-45.422607,3.58,44.83,30,2026-08-12 13:44:44.489038,False
IOT-0000076,SHP-000151,DEV-174,37.097558,138.389564,6.23,49.3,22,2026-08-09 10:13:44.489038,False
IOT-0000077,SHP-000052,DEV-320,-35.349863,152.141076,3.72,43.35,93,2026-08-11 11:06:44.489038,False
IOT-0000078,SHP-000129,DEV-462,43.632764,-88.581049,3.32,70.61,29,2026-08-12 12:10:44.489038,False
IOT-0000079,SHP-000233,DEV-796,33.330977,123.164342,2.43,65.18,41,2026-08-11 15:15:44.489038,False
IOT-0000080,SHP-000130,DEV-930,52.870818,6.587289,2.47,58.38,71,2026-08-12 17:44:44.489038,False
IOT-0000081,SHP-000265,DEV-248,35.647806,139.537262,5.45,69.24,98,2026-08-11 08:24:44.489038,False
IOT-0000082,SHP-000203,DEV-590,52.611405,9.384883,4.02,65.4,24,2026-08-08 10:57:44.489038,False
IOT-0000083,SHP-000512,DEV-629,-23.006206,-46.191249,3.4,41.54,40,2026-08-13 03:39:44.489038,False
IOT-0000084,SHP-000462,DEV-258,52.352496,5.086695,4.51,69.71,93,2026-08-12 20:23:44.489038,False
IOT-0000085,SHP-000225,DEV-566,-35.874538,151.598454,3.33,42.49,41,2026-08-10 10:29:44.489038,False
IOT-0000086,SHP-000563,DEV-916,35.509803,141.945274,17.37,60.48,45,2026-08-11 13:58:44.489038,True
IOT-0000087,SHP-000303,DEV-990,53.451491,12.080998,4.75,63.5,60,2026-08-11 06:13:44.489038,False
IOT-0000088,SHP-000414,DEV-610,25.082018,53.370487,3.83,54.05,28,2026-08-11 00:44:44.489038,False
IOT-0000089,SHP-000581,DEV-527,33.743043,137.411371,6.47,62.56,40,2026-08-12 02:48:44.489038,False
IOT-0000090,SHP-000008,DEV-427,53.373359,10.925061,6.17,57.31,15,2026-08-08 17:45:44.489038,False
IOT-0000091,SHP-000517,DEV-941,51.815522,2.045911,13.16,64.79,50,2026-08-11 04:45:44.489038,True
IOT-0000092,SHP-000054,DEV-147,-35.683162,149.780844,2.93,40.04,19,2026-08-08 15:04:44.489038,False
IOT-0000093,SHP-000325,DEV-151,42.902076,-85.487039,4.85,46.71,25,2026-08-11 15:53:44.489038,False
IOT-0000094,SHP-000179,DEV-966,32.701451,123.920701,3.06,65.27,36,2026-08-12 20:44:44.489038,False
IOT-0000095,SHP-000220,DEV-672,43.300652,-87.976524,3.32,56.95,28,2026-08-09 05:25:44.489038,False
IOT-0000096,SHP-000342,DEV-218,43.510607,-89.216064,4.79,44.52,86,2026-08-08 12:35:44.489038,False
IOT-0000097,SHP-000083,DEV-568,32.982048,121.183515,2.61,73.58,51,2026-08-09 05:09:44.489038,False
IOT-0000098,SHP-000516,DEV-679,27.527529,54.429343,3.89,72.49,26,2026-08-08 20:59:44.489038,False
IOT-0000099,SHP-000457,DEV-957,30.787243,121.754626,3.97,68.0,74,2026-08-11 16:15:44.489038,False
IOT-0000100,SHP-000062,DEV-151,33.285928,121.813761,4.86,60.19,24,2026-08-12 11:17:44.489038,False
IOT-0000101,SHP-000572,DEV-602,41.697815,-85.906238,6.1,42.81,95,2026-08-09 08:52:44.489038,False
IOT-0000102,SHP-000108,DEV-390,54.181508,12.23296,4.8,67.01,90,2026-08-10 09:29:44.489038,False
IOT-0000103,SHP-000381,DEV-462,2.23097,104.088344,5.06,47.95,60,2026-08-12 02:56:44.489038,False
IOT-0000104,SHP-000505,DEV-963,33.613893,-119.545938,4.86,72.14,46,2026-08-11 22:16:44.489038,False
IOT-0000105,SHP-000487,DEV-975,24.625957,55.184803,17.85,67.18,19,2026-08-10 04:47:44.489038,True
IOT-0000106,SHP-000533,DEV-481,32.326849,-116.656089,2.07,60.88,81,2026-08-08 16:59:44.489038,False
IOT-0000107,SHP-000302,DEV-790,-26.253747,-44.229484,4.52,72.81,56,2026-08-08 13:40:44.489038,False
IOT-0000108,SHP-000349,DEV-761,25.554339,54.031557,2.01,70.28,79,2026-08-09 02:14:44.489038,False
IOT-0000109,SHP-000431,DEV-322,-31.806487,151.445332,5.99,63.97,98,2026-08-13 02:45:44.489038,False
IOT-0000110,SHP-000426,DEV-127,33.833806,-119.502951,3.73,47.2,55,2026-08-12 18:45:44.489038,False
IOT-0000111,SHP-000047,DEV-326,50.990857,4.536091,5.92,57.04,65,2026-08-09 14:56:44.489038,False
