order_id,customer_id,product_id,supplier_id,quantity,unit_price_usd,total_amount_usd,original_currency,order_date,required_date,status
ORD-000001,CUST-005,PROD-004,SUP-009,10,4800.0,48000.0,USD,2026-07-23 10:00:44.489038,2026-07-28 10:00:44.489038,DELIVERED
ORD-000002,CUST-005,PROD-002,SUP-005,115,350.0,40250.0,USD,2026-06-30 00:00:44.489038,2026-07-15 00:00:44.489038,DELAYED
ORD-000003,CUST-006,PROD-009,SUP-006,114,3400.0,387600.0,USD,2026-08-09 05:00:44.489038,2026-08-15 05:00:44.489038,DELAYED
ORD-000004,CUST-005,PROD-001,SUP-010,54,1250.0,67500.0,USD,2026-08-09 21:00:44.489038,2026-08-15 21:00:44.489038,DELIVERED
ORD-000005,CUST-003,PROD-009,SUP-006,153,3400.0,520200.0,USD,2026-08-10 02:00:44.489038,2026-08-19 02:00:44.489038,DELIVERED
ORD-000006,CUST-001,PROD-005,SUP-013,123,2100.0,258300.0,USD,2026-07-11 21:00:44.489038,2026-07-26 21:00:44.489038,DELIVERED
ORD-000007,CUST-008,PROD-005,SUP-013,140,2100.0,294000.0,USD,2026-06-28 14:00:44.489038,2026-07-07 14:00:44.489038,DELIVERED
ORD-000008,CUST-006,PROD-004,SUP-009,93,4800.0,446400.0,USD,2026-07-11 01:00:44.489038,2026-07-18 01:00:44.489038,DELIVERED
ORD-000009,CUST-003,PROD-005,SUP-013,157,2100.0,329700.0,USD,2026-07-03 16:00:44.489038,2026-07-18 16:00:44.489038,DELAYED
ORD-000010,CUST-001,PROD-007,SUP-015,24,3200.0,76800.0,USD,2026-07-18 15:00:44.489038,2026-08-02 15:00:44.489038,DELIVERED
ORD-000011,CUST-009,PROD-005,SUP-013,36,2100.0,75600.0,USD,2026-07-24 20:00:44.489038,2026-08-03 20:00:44.489038,DELIVERED
ORD-000012,CUST-008,PROD-005,SUP-013,138,2100.0,289800.0,USD,2026-07-03 16:00:44.489038,2026-07-11 16:00:44.489038,IN_TRANSIT
ORD-000013,CUST-001,PROD-007,SUP-015,9,3200.0,28800.0,USD,2026-07-13 21:00:44.489038,2026-07-22 21:00:44.489038,DELIVERED
ORD-000014,CUST-004,PROD-002,SUP-005,148,350.0,51800.0,USD,2026-07-30 05:00:44.489038,2026-08-14 05:00:44.489038,IN_TRANSIT
ORD-000015,CUST-009,PROD-004,SUP-009,59,4800.0,283200.0,USD,2026-08-07 13:00:44.489038,2026-08-20 13:00:44.489038,CUSTOMS_HOLD
ORD-000016,CUST-003,PROD-001,SUP-010,128,1250.0,160000.0,USD,2026-07-29 19:00:44.489038,2026-08-13 19:00:44.489038,DELIVERED
ORD-000017,CUST-010,PROD-001,SUP-010,32,1250.0,40000.0,USD,2026-07-01 20:00:44.489038,2026-07-15 20:00:44.489038,DELIVERED
ORD-000018,CUST-004,PROD-005,SUP-013,18,2100.0,37800.0,USD,2026-07-14 00:00:44.489038,2026-07-28 00:00:44.489038,DELIVERED
ORD-000019,CUST-001,PROD-001,SUP-010,143,1250.0,178750.0,USD,2026-07-05 06:00:44.489038,2026-07-14 06:00:44.489038,CUSTOMS_HOLD
ORD-000020,CUST-003,PROD-001,SUP-010,25,1250.0,31250.0,USD,2026-07-06 05:00:44.489038,2026-07-15 05:00:44.489038,DELIVERED
ORD-000021,CUST-009,PROD-007,SUP-015,130,3200.0,416000.0,USD,2026-07-31 03:00:44.489038,2026-08-12 03:00:44.489038,CUSTOMS_HOLD
ORD-000022,CUST-009,PROD-010,SUP-001,41,120.0,4920.0,USD,2026-07-04 20:00:44.489038,2026-07-11 20:00:44.489038,IN_TRANSIT
ORD-000023,CUST-005,PROD-003,SUP-007,177,45.0,7965.0,USD,2026-07-27 08:00:44.489038,2026-08-01 08:00:44.489038,DELIVERED
ORD-000024,CUST-004,PROD-009,SUP-006,161,3400.0,547400.0,USD,2026-07-06 23:00:44.489038,2026-07-20 23:00:44.489038,IN_TRANSIT
