order_id,customer_id,product_id,supplier_id,quantity,unit_price,currency,order_date,required_date,status,raw_payload
ORD-000001,CUST-004,PROD-009,SUP-015,16,$3400.00,USD,2026-08-29T21:27:20.247341,2026-09-04T21:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000001"", ""amount"": 54400.0}"
ORD-000002,CUST-009,PROD-004,SUP-012,193,$4800.00,USD,2026-07-27T02:27:20.247341,2026-08-08T02:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000002"", ""amount"": 926400.0}"
ORD-000003,CUST-007,PROD-006,SUP-013,65,$1800.00,USD,2026-07-19T07:27:20.247341,2026-07-25T07:27:20.247341,IN_TRANSIT,"{""order_id"": ""ORD-000003"", ""amount"": 117000.0}"
ORD-000004,CUST-010,PROD-010,SUP-004,198,$120.00,USD,2026-07-19T15:27:20.247341,2026-08-01T15:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000004"", ""amount"": 23760.0}"
ORD-000005,CUST-001,PROD-005,SUP-008,63,$2100.00,USD,2026-07-22T16:27:20.247341,2026-07-31T16:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000005"", ""amount"": 132300.0}"
ORD-000006,CUST-004,PROD-007,SUP-015,14,$3200.00,USD,2026-07-29T03:27:20.247341,2026-08-05T03:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000006"", ""amount"": 44800.0}"
ORD-000007,CUST-001,PROD-007,SUP-015,91,$3200.00,USD,2026-08-07T18:27:20.247341,2026-08-19T18:27:20.247341,DELAYED,"{""order_id"": ""ORD-000007"", ""amount"": 291200.0}"
ORD-000008,CUST-010,PROD-009,SUP-015,54,$3400.00,USD,2026-07-24T10:27:20.247341,2026-07-31T10:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000008"", ""amount"": 183600.0}"
ORD-000009,CUST-009,PROD-004,SUP-012,140,$4800.00,USD,2026-08-08T07:27:20.247341,2026-08-13T07:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000009"", ""amount"": 672000.0}"
ORD-000010,CUST-008,PROD-006,SUP-013,66,$1800.00,USD,2026-08-20T07:27:20.247341,2026-08-26T07:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000010"", ""amount"": 118800.0}"
ORD-000011,CUST-003,PROD-002,SUP-015,143,$350.00,USD,2026-08-30T07:27:20.247341,2026-09-14T07:27:20.247341,DELAYED,"{""order_id"": ""ORD-000011"", ""amount"": 50050.0}"
ORD-000012,CUST-006,PROD-006,SUP-013,67,$1800.00,USD,2026-08-12T14:27:20.247341,2026-08-26T14:27:20.247341,DELAYED,"{""order_id"": ""ORD-000012"", ""amount"": 120600.0}"
ORD-000013,CUST-002,PROD-001,SUP-010,161,$1250.00,USD,2026-08-08T07:27:20.247341,2026-08-15T07:27:20.247341,DELAYED,"{""order_id"": ""ORD-000013"", ""amount"": 201250.0}"
ORD-000014,CUST-002,PROD-010,SUP-004,131,$120.00,USD,2026-08-02T09:27:20.247341,2026-08-12T09:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000014"", ""amount"": 15720.0}"
ORD-000015,CUST-007,PROD-008,SUP-010,92,$890.00,USD,2026-08-11T07:27:20.247341,2026-08-16T07:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000015"", ""amount"": 81880.0}"
ORD-000016,CUST-008,PROD-003,SUP-013,66,$45.00,USD,2026-08-17T12:27:20.247341,2026-08-23T12:27:20.247341,DELIVERED,"{""order_id"": ""ORD-000016"", ""amount"": 2970.0}"
