event_id,shipment_id,device_id,latitude,longitude,temperature_c,humidity_pct,battery_level,recorded_at,raw_payload
IOT-0000001,SHP-000498,DEV-538,28.738745,122.343700,3.78,53.24,20,2026-08-31T17:31:20.247341,"{""event_id"": ""IOT-0000001"", ""temp"": 3.777034652024274, ""lat"": 28.73874508389451, ""lon"": 122.34369990316958}"
IOT-0000002,SHP-000039,DEV-446,31.499682,122.842232,2.43,68.53,90,2026-08-31T18:44:20.247341,"{""event_id"": ""IOT-0000002"", ""temp"": 2.4328867889451655, ""lat"": 31.499681677151774, ""lon"": 122.84223182540983}"
IOT-0000003,SHP-000205,DEV-338,52.964599,8.581272,5.40,66.59,34,2026-08-31T08:50:20.247341,"{""event_id"": ""IOT-0000003"", ""temp"": 5.400730044325415, ""lat"": 52.964599132199744, ""lon"": 8.58127230415622}"
IOT-0000004,SHP-000231,DEV-625,31.149175,122.200667,4.17,40.44,97,2026-08-30T18:39:20.247341,"{""event_id"": ""IOT-0000004"", ""temp"": 4.171348928182304, ""lat"": 31.149175363541268, ""lon"": 122.2006672239456}"
IOT-0000005,SHP-000070,DEV-197,25.302735,54.724810,5.04,57.28,93,2026-09-01T13:57:20.247341,"{""event_id"": ""IOT-0000005"", ""temp"": 5.042390819229642, ""lat"": 25.30273468580272, ""lon"": 54.72480977618121}"
IOT-0000006,SHP-000480,DEV-531,-32.351190,153.046402,4.85,54.64,82,2026-08-28T04:09:20.247341,"{""event_id"": ""IOT-0000006"", ""temp"": 4.854540807514062, ""lat"": -32.35119047544325, ""lon"": 153.04640181422494}"
IOT-0000007,SHP-000264,DEV-986,1.461298,104.613839,3.16,44.69,58,2026-08-30T07:22:20.247341,"{""event_id"": ""IOT-0000007"", ""temp"": 3.1638971720751448, ""lat"": 1.4612977034511232, ""lon"": 104.61383905690799}"
IOT-0000008,SHP-000020,DEV-129,1.923484,103.630166,5.60,53.54,84,2026-08-30T02:40:20.247341,"{""event_id"": ""IOT-0000008"", ""temp"": 5.6030853752408145, ""lat"": 1.923483687257387, ""lon"": 103.63016586612623}"
IOT-0000009,SHP-000306,DEV-733,33.372991,141.105192,3.47,53.03,76,2026-08-30T14:53:20.247341,"{""event_id"": ""IOT-0000009"", ""temp"": 3.4661170008409057, ""lat"": 33.372991160220366, ""lon"": 141.10519240884426}"
IOT-0000010,SHP-000357,DEV-100,53.641658,8.349111,5.26,40.25,64,2026-08-29T20:33:20.247341,"{""event_id"": ""IOT-0000010"", ""temp"": 5.261811312486508, ""lat"": 53.641658423473956, ""lon"": 8.349111458931088}"
IOT-0000011,SHP-000225,DEV-465,37.393527,139.296583,5.60,60.24,55,2026-08-31T06:26:20.247341,"{""event_id"": ""IOT-0000011"", ""temp"": 5.603400125853396, ""lat"": 37.39352674912705, ""lon"": 139.29658349852093}"
IOT-0000012,SHP-000267,DEV-567,-34.938312,152.893076,5.44,52.85,66,2026-09-01T13:33:20.247341,"{""event_id"": ""IOT-0000012"", ""temp"": 5.439873914288093, ""lat"": -34.93831237586676, ""lon"": 152.89307587166726}"
IOT-0000013,SHP-000350,DEV-719,32.507208,-118.091926,2.44,45.90,72,2026-08-30T06:31:20.247341,"{""event_id"": ""IOT-0000013"", ""temp"": 2.438043373622562, ""lat"": 32.50720790276919, ""lon"": -118.09192604612916}"
IOT-0000014,SHP-000440,DEV-119,35.499139,-116.081944,4.77,57.86,20,2026-08-29T02:41:20.247341,"{""event_id"": ""IOT-0000014"", ""temp"": 4.774433017611497, ""lat"": 35.499138530407414, ""lon"": -116.081943686259}"
IOT-0000015,SHP-000008,DEV-907,53.659123,9.067050,11.63,45.58,50,2026-08-31T15:42:20.247341,"{""event_id"": ""IOT-0000015"", ""temp"": 11.626352405478869, ""lat"": 53.6591227369078, ""lon"": 9.06705039608211}"
IOT-0000016,SHP-000117,DEV-206,54.059135,5.639680,2.24,58.38,33,2026-08-29T04:30:20.247341,"{""event_id"": ""IOT-0000016"", ""temp"": 2.2371611120545385, ""lat"": 54.05913544932095, ""lon"": 5.639679949588745}"
IOT-0000017,SHP-000297,DEV-696,34.508709,-118.218121,4.20,56.59,76,2026-08-30T20:36:20.247341,"{""event_id"": ""IOT-0000017"", ""temp"": 4.196072748269817, ""lat"": 34.50870874087093, ""lon"": -118.21812087502222}"
