warehouse_id,code,name,city,country,latitude,longitude,capacity_sqft,temp_zone_type,raw_payload
WH-US-001,LAX-HUB,Los Angeles Logistics Hub,Los Angeles,USA,34.0522,-118.2437,550000,Cold Storage,"{""id"": ""WH-US-001"", ""code"": ""LAX-HUB"", ""name"": ""Los Angeles Logistics Hub"", ""city"": ""Los Angeles"", ""country"": ""USA"", ""lat"": 34.0522, ""lon"": -118.2437, ""capacity"": 550000, ""temp_zone"": ""Cold Storage""}"
WH-US-002,ORD-HUB,Chicago Central Distribution,Chicago,USA,41.8781,-87.6298,450000,Ambient,"{""id"": ""WH-US-002"", ""code"": ""ORD-HUB"", ""name"": ""Chicago Central Distribution"", ""city"": ""Chicago"", ""country"": ""USA"", ""lat"": 41.8781, ""lon"": -87.6298, ""capacity"": 450000, ""temp_zone"": ""Ambient""}"
WH-EU-001,HAM-HUB,Hamburg Port Terminal,Hamburg,Germany,53.5511,9.9937,600000,Cold Storage,"{""id"": ""WH-EU-001"", ""code"": ""HAM-HUB"", ""name"": ""Hamburg Port Terminal"", ""city"": ""Hamburg"", ""country"": ""Germany"", ""lat"": 53.5511, ""lon"": 9.9937, ""capacity"": 600000, ""temp_zone"": ""Cold Storage""}"
WH-EU-002,ROT-HUB,Rotterdam Gateway Terminal,Rotterdam,Netherlands,51.9244,4.4777,700000,Frozen,"{""id"": ""WH-EU-002"", ""code"": ""ROT-HUB"", ""name"": ""Rotterdam Gateway Terminal"", ""city"": ""Rotterdam"", ""country"": ""Netherlands"", ""lat"": 51.9244, ""lon"": 4.4777, ""capacity"": 700000, ""temp_zone"": ""Frozen""}"
WH-AP-001,TYO-HUB,Tokyo Kanto Logistics Center,Tokyo,Japan,35.6762,139.6503,500000,Ambient,"{""id"": ""WH-AP-001"", ""code"": ""TYO-HUB"", ""name"": ""Tokyo Kanto Logistics Center"", ""city"": ""Tokyo"", ""country"": ""Japan"", ""lat"": 35.6762, ""lon"": 139.6503, ""capacity"": 500000, ""temp_zone"": ""Ambient""}"
WH-AP-002,SHA-HUB,Shanghai Pudong Fulfillment Center,Shanghai,China,31.2304,121.4737,850000,Cold Storage,"{""id"": ""WH-AP-002"", ""code"": ""SHA-HUB"", ""name"": ""Shanghai Pudong Fulfillment Center"", ""city"": ""Shanghai"", ""country"": ""China"", ""lat"": 31.2304, ""lon"": 121.4737, ""capacity"": 850000, ""temp_zone"": ""Cold Storage""}"
WH-AP-003,SIN-HUB,Singapore Tuas Mega Hub,Singapore,Singapore,1.3521,103.8198,650000,Ambient,"{""id"": ""WH-AP-003"", ""code"": ""SIN-HUB"", ""name"": ""Singapore Tuas Mega Hub"", ""city"": ""Singapore"", ""country"": ""Singapore"", ""lat"": 1.3521, ""lon"": 103.8198, ""capacity"": 650000, ""temp_zone"": ""Ambient""}"
WH-ME-001,DXB-HUB,Dubai Logistics City Hub,Dubai,UAE,25.2048,55.2708,400000,Cold Storage,"{""id"": ""WH-ME-001"", ""code"": ""DXB-HUB"", ""name"": ""Dubai Logistics City Hub"", ""city"": ""Dubai"", ""country"": ""UAE"", ""lat"": 25.2048, ""lon"": 55.2708, ""capacity"": 400000, ""temp_zone"": ""Cold Storage""}"
WH-SA-001,SAN-HUB,Santos Port Cargo Node,Santos,Brazil,-23.9608,-46.3336,380000,Ambient,"{""id"": ""WH-SA-001"", ""code"": ""SAN-HUB"", ""name"": ""Santos Port Cargo Node"", ""city"": ""Santos"", ""country"": ""Brazil"", ""lat"": -23.9608, ""lon"": -46.3336, ""capacity"": 380000, ""temp_zone"": ""Ambient""}"
WH-AU-001,SYD-HUB,Sydney Western Fulfillment,Sydney,Australia,-33.8688,151.2093,300000,Ambient,"{""id"": ""WH-AU-001"", ""code"": ""SYD-HUB"", ""name"": ""Sydney Western Fulfillment"", ""city"": ""Sydney"", ""country"": ""Australia"", ""lat"": -33.8688, ""lon"": 151.2093, ""capacity"": 300000, ""temp_zone"": ""Ambient""}"
