inventory_id,warehouse_id,product_id,quantity_on_hand,reorder_level,safety_stock,last_counted_at,raw_payload
INV-00001,WH-US-001,PROD-001,926,286,105,2026-08-31T03:27:20.247341,"{""inventory_id"": ""INV-00001"", ""qty"": 926}"
INV-00002,WH-US-001,PROD-002,1179,236,98,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00002"", ""qty"": 1179}"
INV-00003,WH-US-001,PROD-003,1074,219,106,2026-08-26T03:27:20.247341,"{""inventory_id"": ""INV-00003"", ""qty"": 1074}"
INV-00004,WH-US-001,PROD-004,249,167,128,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00004"", ""qty"": 249}"
INV-00005,WH-US-001,PROD-005,105,265,72,2026-08-31T03:27:20.247341,"{""inventory_id"": ""INV-00005"", ""qty"": 105}"
INV-00006,WH-US-001,PROD-006,398,136,150,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00006"", ""qty"": 398}"
INV-00007,WH-US-001,PROD-007,930,187,78,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00007"", ""qty"": 930}"
INV-00008,WH-US-001,PROD-008,1387,283,51,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00008"", ""qty"": 1387}"
INV-00009,WH-US-001,PROD-009,376,172,76,2026-08-29T03:27:20.247341,"{""inventory_id"": ""INV-00009"", ""qty"": 376}"
INV-00010,WH-US-001,PROD-010,568,230,75,2026-08-28T03:27:20.247341,"{""inventory_id"": ""INV-00010"", ""qty"": 568}"
INV-00011,WH-US-002,PROD-001,952,245,106,2026-08-31T03:27:20.247341,"{""inventory_id"": ""INV-00011"", ""qty"": 952}"
INV-00012,WH-US-002,PROD-002,1499,145,94,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00012"", ""qty"": 1499}"
INV-00013,WH-US-002,PROD-003,472,220,85,2026-08-23T03:27:20.247341,"{""inventory_id"": ""INV-00013"", ""qty"": 472}"
INV-00014,WH-US-002,PROD-004,938,136,65,2026-08-29T03:27:20.247341,"{""inventory_id"": ""INV-00014"", ""qty"": 938}"
INV-00015,WH-US-002,PROD-005,998,286,95,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00015"", ""qty"": 998}"
INV-00016,WH-US-002,PROD-006,1072,288,122,2026-08-28T03:27:20.247341,"{""inventory_id"": ""INV-00016"", ""qty"": 1072}"
INV-00017,WH-US-002,PROD-007,265,171,66,2026-08-29T03:27:20.247341,"{""inventory_id"": ""INV-00017"", ""qty"": 265}"
INV-00018,WH-US-002,PROD-008,916,250,54,2026-08-26T03:27:20.247341,"{""inventory_id"": ""INV-00018"", ""qty"": 916}"
INV-00019,WH-US-002,PROD-009,320,127,138,2026-08-29T03:27:20.247341,"{""inventory_id"": ""INV-00019"", ""qty"": 320}"
INV-00020,WH-US-002,PROD-010,295,276,100,2026-08-26T03:27:20.247341,"{""inventory_id"": ""INV-00020"", ""qty"": 295}"
INV-00021,WH-EU-001,PROD-001,581,284,119,2026-08-28T03:27:20.247341,"{""inventory_id"": ""INV-00021"", ""qty"": 581}"
INV-00022,WH-EU-001,PROD-002,673,107,65,2026-08-26T03:27:20.247341,"{""inventory_id"": ""INV-00022"", ""qty"": 673}"
INV-00023,WH-EU-001,PROD-003,600,295,89,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00023"", ""qty"": 600}"
INV-00024,WH-EU-001,PROD-004,764,204,58,2026-08-25T03:27:20.247341,"{""inventory_id"": ""INV-00024"", ""qty"": 764}"
INV-00025,WH-EU-001,PROD-005,1448,109,79,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00025"", ""qty"": 1448}"
INV-00026,WH-EU-001,PROD-006,553,139,91,2026-08-23T03:27:20.247341,"{""inventory_id"": ""INV-00026"", ""qty"": 553}"
INV-00027,WH-EU-001,PROD-007,666,212,129,2026-08-30T03:27:20.247341,"{""inventory_id"": ""INV-00027"", ""qty"": 666}"
INV-00028,WH-EU-001,PROD-008,1275,160,59,2026-08-28T03:27:20.247341,"{""inventory_id"": ""INV-00028"", ""qty"": 1275}"
INV-00029,WH-EU-001,PROD-009,986,247,59,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00029"", ""qty"": 986}"
INV-00030,WH-EU-001,PROD-010,189,297,104,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00030"", ""qty"": 189}"
INV-00031,WH-EU-002,PROD-001,626,254,129,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00031"", ""qty"": 626}"
INV-00032,WH-EU-002,PROD-002,561,112,112,2026-08-30T03:27:20.247341,"{""inventory_id"": ""INV-00032"", ""qty"": 561}"
INV-00033,WH-EU-002,PROD-003,641,234,146,2026-08-25T03:27:20.247341,"{""inventory_id"": ""INV-00033"", ""qty"": 641}"
INV-00034,WH-EU-002,PROD-004,748,192,137,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00034"", ""qty"": 748}"
INV-00035,WH-EU-002,PROD-005,685,260,108,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00035"", ""qty"": 685}"
INV-00036,WH-EU-002,PROD-006,642,164,113,2026-08-23T03:27:20.247341,"{""inventory_id"": ""INV-00036"", ""qty"": 642}"
INV-00037,WH-EU-002,PROD-007,238,269,147,2026-08-31T03:27:20.247341,"{""inventory_id"": ""INV-00037"", ""qty"": 238}"
INV-00038,WH-EU-002,PROD-008,1016,134,64,2026-08-28T03:27:20.247341,"{""inventory_id"": ""INV-00038"", ""qty"": 1016}"
INV-00039,WH-EU-002,PROD-009,517,195,52,2026-08-23T03:27:20.247341,"{""inventory_id"": ""INV-00039"", ""qty"": 517}"
INV-00040,WH-EU-002,PROD-010,994,188,136,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00040"", ""qty"": 994}"
INV-00041,WH-AP-001,PROD-001,1482,230,93,2026-09-01T03:27:20.247341,"{""inventory_id"": ""INV-00041"", ""qty"": 1482}"
INV-00042,WH-AP-001,PROD-002,445,296,78,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00042"", ""qty"": 445}"
INV-00043,WH-AP-001,PROD-003,466,201,73,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00043"", ""qty"": 466}"
INV-00044,WH-AP-001,PROD-004,841,265,81,2026-08-26T03:27:20.247341,"{""inventory_id"": ""INV-00044"", ""qty"": 841}"
INV-00045,WH-AP-001,PROD-005,1138,272,62,2026-08-26T03:27:20.247341,"{""inventory_id"": ""INV-00045"", ""qty"": 1138}"
INV-00046,WH-AP-001,PROD-006,80,131,60,2026-08-31T03:27:20.247341,"{""inventory_id"": ""INV-00046"", ""qty"": 80}"
INV-00047,WH-AP-001,PROD-007,272,237,89,2026-08-26T03:27:20.247341,"{""inventory_id"": ""INV-00047"", ""qty"": 272}"
INV-00048,WH-AP-001,PROD-008,1481,294,118,2026-08-25T03:27:20.247341,"{""inventory_id"": ""INV-00048"", ""qty"": 1481}"
INV-00049,WH-AP-001,PROD-009,580,276,73,2026-08-24T03:27:20.247341,"{""inventory_id"": ""INV-00049"", ""qty"": 580}"
INV-00050,WH-AP-001,PROD-010,735,163,50,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00050"", ""qty"": 735}"
INV-00051,WH-AP-002,PROD-001,1285,142,90,2026-08-28T03:27:20.247341,"{""inventory_id"": ""INV-00051"", ""qty"": 1285}"
INV-00052,WH-AP-002,PROD-002,679,152,107,2026-08-25T03:27:20.247341,"{""inventory_id"": ""INV-00052"", ""qty"": 679}"
INV-00053,WH-AP-002,PROD-003,1311,202,96,2026-08-29T03:27:20.247341,"{""inventory_id"": ""INV-00053"", ""qty"": 1311}"
INV-00054,WH-AP-002,PROD-004,51,272,123,2026-08-29T03:27:20.247341,"{""inventory_id"": ""INV-00054"", ""qty"": 51}"
INV-00055,WH-AP-002,PROD-005,428,209,50,2026-08-28T03:27:20.247341,"{""inventory_id"": ""INV-00055"", ""qty"": 428}"
INV-00056,WH-AP-002,PROD-006,346,261,144,2026-08-27T03:27:20.247341,"{""inventory_id"": ""INV-00056"", ""qty"": 346}"
INV-00057,WH-AP-002,PROD-007,1053,165,65,2026-08-25T03:27:20.247341,"{""inventory_id"": ""INV-00057"", ""qty"": 1053}"
