supplier_id,name,contact_email,country,region,tier,rating,raw_payload
SUP-001,Nvidia Precision Tech,contact@nvidiaprecisiontech.com,Taiwan,Asia,Tier 1,4.9,"{""supplier_id"": ""SUP-001"", ""name"": ""Nvidia Precision Tech"", ""rating"": 4.9}"
SUP-002,Bosch Global Systems,contact@boschglobalsystems.com,Germany,Europe,Tier 1,4.8,"{""supplier_id"": ""SUP-002"", ""name"": ""Bosch Global Systems"", ""rating"": 4.8}"
SUP-003,Samsung Components,contact@samsungcomponents.com,South Korea,Asia,Tier 1,4.85,"{""supplier_id"": ""SUP-003"", ""name"": ""Samsung Components"", ""rating"": 4.85}"
SUP-004,TSMC Microelectronics,contact@tsmcmicroelectronics.com,Taiwan,Asia,Tier 1,4.95,"{""supplier_id"": ""SUP-004"", ""name"": ""TSMC Microelectronics"", ""rating"": 4.95}"
SUP-005,Foxconn Logistics,contact@foxconnlogistics.com,China,Asia,Tier 1,4.6,"{""supplier_id"": ""SUP-005"", ""name"": ""Foxconn Logistics"", ""rating"": 4.6}"
SUP-006,Siemens Automation,contact@siemensautomation.com,Germany,Europe,Tier 1,4.75,"{""supplier_id"": ""SUP-006"", ""name"": ""Siemens Automation"", ""rating"": 4.75}"
SUP-007,Pfizer Cold Pharma,contact@pfizercoldpharma.com,USA,North America,Tier 1,4.9,"{""supplier_id"": ""SUP-007"", ""name"": ""Pfizer Cold Pharma"", ""rating"": 4.9}"
SUP-008,Moderna BioSupply,contact@modernabiosupply.com,USA,North America,Tier 1,4.88,"{""supplier_id"": ""SUP-008"", ""name"": ""Moderna BioSupply"", ""rating"": 4.88}"
SUP-009,BASF Chemical Works,contact@basfchemicalworks.com,Germany,Europe,Tier 2,4.5,"{""supplier_id"": ""SUP-009"", ""name"": ""BASF Chemical Works"", ""rating"": 4.5}"
SUP-010,SK Hynix Memory,contact@skhynixmemory.com,South Korea,Asia,Tier 1,4.7,"{""supplier_id"": ""SUP-010"", ""name"": ""SK Hynix Memory"", ""rating"": 4.7}"
SUP-011,Flex Semiconductor,contact@flexsemiconductor.com,Singapore,Asia,Tier 2,4.4,"{""supplier_id"": ""SUP-011"", ""name"": ""Flex Semiconductor"", ""rating"": 4.4}"
SUP-012,Murata Manufacturing,contact@muratamanufacturing.com,Japan,Asia,Tier 2,4.65,"{""supplier_id"": ""SUP-012"", ""name"": ""Murata Manufacturing"", ""rating"": 4.65}"
SUP-013,Valero Energy Energy,contact@valeroenergyenergy.com,USA,North America,Tier 2,4.3,"{""supplier_id"": ""SUP-013"", ""name"": ""Valero Energy Energy"", ""rating"": 4.3}"
SUP-014,Vale Mining SA,contact@valeminingsa.com,Brazil,South America,Tier 2,4.2,"{""supplier_id"": ""SUP-014"", ""name"": ""Vale Mining SA"", ""rating"": 4.2}"
SUP-015,Tata Industrial Freight,contact@tataindustrialfreight.com,India,Asia,Tier 2,4.45,"{""supplier_id"": ""SUP-015"", ""name"": ""Tata Industrial Freight"", ""rating"": 4.45}"
